Name,Type,Rating,Checked
Standard ML,Technology,0,TRUE
Star Schema,Domain,0,TRUE
Stata,Language,0,TRUE
Statistics,Domain,2,TRUE
Stochastic Programming,Domain,0,TRUE
Streaming,Domain,0,TRUE
Supervised Learning,Domain,4,TRUE
Supply Chain,Domain,0,TRUE
Support Vector Machines,Domain,2,TRUE
Swift,Technology,0,TRUE
Synapse,Technology,0,TRUE
System Design,Domain,1,TRUE
T-SQL,Technology,0,TRUE
Tableau,Technology,0,TRUE
Teaching,Domain,1,TRUE
Technical Debt,Domain,0,TRUE
Technical Writing,Domain,1,TRUE
Tensor Algebra,Domain,1,TRUE
TensorFlow,Technology,0,TRUE
Teradata,Technology,0,TRUE
Terraform,Technology,0,TRUE
Text Mining,Domain,0,TRUE
Trello,Technology,1,TRUE
Tutorial D,Language,0,TRUE
Tutoring,Domain,2,TRUE
Type Classes,Domain,3,TRUE
Type Theory,Domain,0,TRUE
Typelevel.Scala,Technology,0,TRUE
TypeScript,Language,0,TRUE
Ubuntu,Technology,2,TRUE
Unit Testing,Domain,0,TRUE
Unix,Technology,0,TRUE
Unsupervised Learning,Domain,3,TRUE
VBA,Language,0,TRUE
Vector Databases,Domain,0,TRUE
Version Control,Domain,3,TRUE
Vertex.AI,Technology,0,TRUE
Virtualization,Technology,0,TRUE
Visual Studio Code,Technology,1,TRUE
VisualBasic,Technology,0,TRUE
Voting Systems,Domain,2,TRUE
Vue,Technology,0,TRUE
Web Design/Development,Domain,3,TRUE
Web Scraping,Domain,1,TRUE
Written Communication,Domain,3,TRUE
XGBoost,Technology,0,TRUE
XML,Technology,0,TRUE
ZIO,Technology,0,TRUE
Zoom,Technology,2,TRUE
